X,Y,OBJECTID,GlobalID,last_edited_date,id,stop_name,stop_id,stop_code,agency_nam,routes,gen_date,end_date
-84.4346560003741,33.7474399998562,72395,{99552D29-3D86-4040-8081-BEBB61DCBE23},2019/09/06 15:46:51+00,72,WESTVIEW DR SW @ WESTVIEW PL,100170,100170,MARTA,813,2019/09/04,2019/12/06
-84.4735960001552,33.7027199997282,72396,{56CB5F81-53B4-4F1A-9BF4-B2AE720224F1},2019/09/06 15:51:20+00,3407,CAMPBELLTON RD SW@2605,211104,211104,MARTA,83,2019/09/04,2019/12/06
-84.3529319998119,33.7158010004159,72397,{3E18AACC-E347-492D-83C1-BAAC2C0CD3FC},2019/09/06 15:54:28+00,5167,CUSTER AVE @ CUSTER WAY SE,213539,213539,MARTA,9,2019/09/04,2019/12/06
-84.4824799997522,33.7606860000589,72398,{F1504EB3-DD4B-45C9-B7CD-A7A7F5FCC7B4},2019/09/06 15:57:49+00,7640,LINKWOOD RD NW @ 183,903787,903787,MARTA,856,2019/09/04,2019/12/06
-84.4141459997381,33.6926660001358,72399,{08C8519F-1DFE-4113-A0D0-B32B0C9561DF},2019/09/06 15:51:20+00,3881,SPRINGDALE RD @ SPRINGDALE PL,211999,211999,MARTA,79,2019/09/04,2019/12/06
-84.4087419996436,33.6770040000346,72400,{84E5DCE3-2207-4FC2-BB23-AE9B8BB0DCB5},2019/09/06 15:49:50+00,2525,METROPOLITAN PKWY @ OLD JONESBORO RD,158303,158303,MARTA,95,2019/09/04,2019/12/06
-84.3923170003293,33.7998520003696,72401,{48EEDEEB-2556-4891-8768-BDABB294EDD4},2019/09/06 15:56:08+00,6870,PEACHTREE ST NE @ DEERING RD,902573,902573,MARTA,110,2019/09/04,2019/12/06
-84.360042000338,33.5060279997924,72402,{B35F1B74-0E8E-4B31-AB77-AB3866B20C0A},2019/09/06 15:52:51+00,4087,CLAYTON COUNTY JUSTICE CENTER,212236,212236,MARTA,"192, 191, 193, 800",2019/09/04,2019/12/06
-84.357724999609,33.8541630003223,72403,{4ED70844-D59C-42B4-81D2-B206B9965F10},2019/09/06 15:59:37+00,8564,PEACHTREE RD @ PEACHTREE DUNWOODY RD,905478,905478,MARTA,110,2019/09/04,2019/12/06
-84.5648460002427,33.7388640000736,72404,{ED299119-7289-4EF3-B2D3-B07A48060C48},2019/09/06 15:56:08+00,6062,FULTON INDUSTRIAL BLVD @ BUCKNELL DR,901326,901326,MARTA,73,2019/09/04,2019/12/06
-84.3784660001058,33.73023899983,72405,{A6830A60-0FC1-4612-91B9-B83C0110818D},2019/09/06 15:48:22+00,1409,HILL ST SE @ ATLANTA AVE,126136,126136,MARTA,49,2019/09/04,2019/12/06
-84.4706130001898,33.629673000009,72406,{E49FD5A6-19AC-4C3B-9FCD-AA2F6D55B730},2019/09/06 15:49:50+00,2796,ROOSEVELT HWY @ 2511,176166,176166,MARTA,"195, 180, 189",2019/09/04,2019/12/06
-84.1571499995728,33.7525800003668,72407,{CCF916DA-C14E-4503-9918-B2ACC89A96DE},2019/09/06 15:46:51+00,758,REDAN RD@REDAN CIR,110034,110034,MARTA,116,2019/09/04,2019/12/06
-84.4080530002457,33.8002170001145,72408,{4B7E4621-7F27-40FA-802C-B4A92B9D2482},2019/09/06 15:56:08+00,6140,BELLEMEADE AVE @ NORTHSIDE DR,901446,901446,MARTA,37,2019/09/04,2019/12/06
-84.3104630000674,33.7582819998145,72409,{807297F7-DA4E-4C0E-B289-B757CF584607},2019/09/06 15:59:37+00,8352,2ND AVE @ BRYAN PL,905095,905095,MARTA,34,2019/09/04,2019/12/06
-84.4135409997173,33.5609829997657,72410,{FA7EA561-361D-484D-9BE5-BA25798E12F1},2019/09/06 15:51:20+00,3996,SR 85 @ LAMAR HUTCHESON PKWY,212130,212130,MARTA,"196, 191",2019/09/04,2019/12/06
-84.4461980002375,33.6408310001506,72411,{7C5F8D0D-0110-4480-ABB7-C007D50C702B},2019/09/06 16:00:07+00,9202,AIRPORT STATION,908695,908695,MARTA,"RED, GOLD",2019/09/04,2019/12/06
-84.5033770002483,33.6703610003599,72412,{5D71152C-EFE9-4606-9F24-B91529AE4BAA},2019/09/06 15:49:50+00,2097,N CAMP CREEK PKY SW @ 3540,145075,145075,MARTA,93,2019/09/04,2019/12/06
-84.3971019997575,33.7633299996798,72413,{BFF46746-AC72-416C-9833-AA4EE9C4267E},2019/09/06 15:51:20+00,3274,MARIETTA ST @ SIMPSON ST,210837,210837,MARTA,26,2019/09/04,2019/12/06
-84.4076670004317,33.7818250000238,72414,{94CE960C-528F-41B0-8607-BEBE01ABDB35},2019/09/06 15:52:51+00,4744,NORTHSIDE DR NW @ 10TH ST NW,213072,213072,MARTA,94,2019/09/04,2019/12/06
-84.2269610002499,33.7863419996836,72415,{592B925C-B85B-4E83-8F06-AF8F879EC08E},2019/09/06 15:57:49+00,7385,ROCKBRIDGE RD@SAFARI CIR,903361,903361,MARTA,117,2019/09/04,2019/12/06
-84.4239100003462,33.7015699997557,72416,{8E8D1243-811E-4AE4-BCC8-B7D98D5A321A},2019/09/06 15:48:22+00,1868,ASTOR AVE SW@1069,136116,136116,MARTA,"178, 42",2019/09/04,2019/12/06
-84.4131580000416,33.7380959997307,72417,{D44F584F-B097-4546-A14E-C10B595B6609},2019/09/06 15:46:51+00,838,RALPH D ABERNATHY BLVD @ W WHITEHALL ST,114082,114082,MARTA,"1, 155, 40, 58, 832, 95, 71",2019/09/04,2019/12/06
-84.3595049998558,33.6501920001608,72418,{528491A1-2B55-4605-886C-BDDB7CCA8574},2019/09/06 15:49:50+00,2717,CONLEY RD SE@900,167012,167012,MARTA,55,2019/09/04,2019/12/06
-84.3659660001308,33.5392440000106,72419,{8B65257D-15AD-4547-9E03-B3C0384688D0},2019/09/06 15:52:51+00,4229,TARA BLVD @ SR 138,212477,212477,MARTA,"192, 193",2019/09/04,2019/12/06
-84.2524199997831,33.7457300001395,72420,{271C8261-60C4-441E-8553-A701D894B6E6},2019/09/06 15:46:51+00,552,PEACHCREST RD @ WILD FLOWER CV,107080,107080,MARTA,86,2019/09/04,2019/12/06
-84.2951309998957,33.9334029996488,72421,{A3FDDF99-29CD-4FAF-BBA7-BB3FF4261E87},2019/09/06 15:57:49+00,7177,N PEACHTREE RD@BARCLAY DR,903016,903016,MARTA,132,2019/09/04,2019/12/06
-84.4655569999555,33.6668330004427,72422,{788CE38D-8470-4191-9140-B863D95C551A},2019/09/06 15:49:50+00,2686,WASHINGTON RD @ STONE RD,166144,166144,MARTA,"181, 84",2019/09/04,2019/12/06
-84.3012919998259,33.7560009998463,72423,{756B3E54-068C-4912-92E3-AC517F71095E},2019/09/06 15:59:37+00,8119,E LAKE DR @ SPRING ST,904655,904655,MARTA,823,2019/09/04,2019/12/06
-84.3587490000663,33.9715040003094,72424,{1070DE8D-CF6D-4F02-AADB-B2841D8A6700},2019/09/06 16:00:07+00,9080,ROSWELL RD@7878,906323,906323,MARTA,87,2019/09/04,2019/12/06
-84.2929760003421,34.075398999864,72425,{659A20E5-A117-4D14-BD31-B38FFF84A791},2019/09/06 15:57:49+00,7018,ACADEMY ST @ HAYNES BRIDGE RD,902775,902775,MARTA,141,2019/09/04,2019/12/06
-84.3790310000805,33.7467899995589,72426,{674AB59C-B544-41F4-B7A2-A6E7BB0C90C8},2019/09/06 15:46:51+00,120,MEMORIAL DR SE @ HILL ST SE,102009,102009,MARTA,"9, 21, 107",2019/09/04,2019/12/06
-84.2373229996567,33.8949309998658,72427,{56AD90BA-BE53-4244-AA15-B949E872B5FF},2019/09/06 15:59:37+00,8480,PLEASANTDALE RD@3772,905320,905320,MARTA,124,2019/09/04,2019/12/06
-84.2810489998114,33.9939029999235,72428,{5254BE65-1640-4439-A2DD-B00C033577AA},2019/09/06 15:52:51+00,4947,HOLCOMB BRIDGE RD @ 2720,213301,213301,MARTA,142,2019/09/04,2019/12/06
-84.4081500002223,33.7026500000975,72429,{2A0A513E-593F-4526-B50D-B2FBBAB3249C},2019/09/06 15:48:22+00,1905,METROPOLITAN PKY SW@GRANT ST SW,137062,137062,MARTA,95,2019/09/04,2019/12/06
-84.2631799995573,33.7284799996523,72430,{00A640E1-EE4B-4115-9D03-A835ACE2F5DE},2019/09/06 15:46:51+00,531,GLENDALE DR @ 2106,107022,107022,MARTA,24,2019/09/04,2019/12/06
-84.3049379997888,33.9196890003471,72431,{A4FF9FC0-9907-4B6F-BB9B-AB259E5A63B2},2019/09/06 15:59:37+00,8633,N SHALLOWFORD RD @ SAVOY DR,905598,905598,MARTA,103,2019/09/04,2019/12/06
-84.2688090001352,33.8786039996749,72432,{11014460-A8FD-4F43-A09B-B2603954D36A},2019/09/06 15:59:37+00,8981,CHAMBLEE TUCKER RD@MERCER UNIVERSI,906189,906189,MARTA,126,2019/09/04,2019/12/06
-84.2009670003268,33.8482439998608,72433,{62DD8C22-15A5-4863-B561-A98DD1235EAE},2019/09/06 15:52:51+00,4872,MOUNTAIN INDUSTRIAL BLVD @ HUGH HOWELL RD,213215,213215,MARTA,121,2019/09/04,2019/12/06
-84.4793639999486,33.8015139996714,72434,{2B600CA0-5AAD-49C0-80FA-AAB0B78BB897},2019/09/06 15:56:08+00,6541,BROWNTOWN RD NW@2783,902069,902069,MARTA,58,2019/09/04,2019/12/06
-84.3244819999443,33.79929099968,72435,{CAF5E141-E25C-44D1-873B-BE7F66B3BF32},2019/09/06 15:56:08+00,6164,CLIFTON RD NE @ 1599,901494,901494,MARTA,"6, 816",2019/09/04,2019/12/06
-84.2464450003365,33.8039699996158,72436,{40768FB0-812D-4678-B525-B222271978FB},2019/09/06 15:57:49+00,7853,E PONCE DE LEON AVE @ PECAN ST,904170,904170,MARTA,120,2019/09/04,2019/12/06
-84.4077630003621,33.768193000007,72437,{4BAD0181-70BC-4B95-81A6-A5FCD1DF34C0},2019/09/06 15:54:28+00,5822,CAMERON M ALEXANDER BLVD @ VINE ST NW,900911,900911,MARTA,50,2019/09/04,2019/12/06
-84.3050389999498,33.6982040001146,72438,{C0703F6E-CFF2-45EB-98A9-C161D2309C70},2019/09/06 15:51:20+00,3551,GRESHAM RD SE@COTTONWOOD DR,211421,211421,MARTA,34,2019/09/04,2019/12/06
-84.4130589999728,33.5663819996296,72439,{30124F22-4581-473B-A8DE-AA4225AA16BB},2019/09/06 15:52:51+00,4067,SR 85 @ ROBERTS DR,212213,212213,MARTA,196,2019/09/04,2019/12/06
-84.4041160003531,33.5703370003523,72440,{A1A3C0B5-E7DA-4C0E-A096-BDB9EDD66423},2019/09/06 15:52:51+00,4088,VALLEY HILL RD SW @ LAMAR HUTCHESON PKWY,212237,212237,MARTA,"191, 89",2019/09/04,2019/12/06
-84.1941980002375,33.802097999623,72441,{FA17402A-03B3-4BB9-99F1-B82FA7A69015},2019/09/06 15:51:20+00,3744,MEMORIAL DR @ N HAIRSTON RD,211710,211710,MARTA,"121, 221",2019/09/04,2019/12/06
-84.5001899998686,33.7556919999859,72442,{50AB6D9C-207E-4F25-A825-BC84AC7558F5},2019/09/06 15:56:08+00,6064,BROWNLEE RD@MARTIN LUTHER KING J D,901331,901331,MARTA,865,2019/09/04,2019/12/06
-84.1416499997476,33.7170460002728,72443,{86AC285C-C848-491B-9BB2-AF49CEF25B0C},2019/09/06 15:48:22+00,1773,COVINGTON HWY@WOODCREST WALK,133085,133085,MARTA,115,2019/09/04,2019/12/06
-84.1799230002462,33.8211179998958,72444,{4BF53C01-D36B-4077-802F-A9F961CAD819},2019/09/06 15:56:08+00,6326,JULIETTE RD @ TREE MOUNTAIN PKY,901737,901737,MARTA,221,2019/09/04,2019/12/06
-84.3533579996719,33.8142600001989,72445,{6523F422-56C2-430A-A619-A680A36C1F7A},2019/09/06 15:56:08+00,6880,CHESHIRE BRIDGE RD@ 2171,902588,902588,MARTA,27,2019/09/04,2019/12/06
-84.3856680003779,33.6272170000645,72446,{837E8EFA-4058-40BD-A155-AD734DFAAAF5},2019/09/06 15:52:51+00,4287,OLD DIXIE HWY @ LAKE MIRROR RD,212542,212542,MARTA,"193, 192",2019/09/04,2019/12/06
-84.2963009998912,33.7668130002198,72447,{9BF63B72-5DC7-4E60-A5FB-BA41CA2CD650},2019/09/06 15:59:37+00,8210,S MCDONOUGH ST@DOUGHERTY ST,904827,904827,MARTA,823,2019/09/04,2019/12/06
-84.44846499956,33.6519369996929,72448,{D721A44C-399C-47B8-9DCB-AB83ED4957A9},2019/09/06 15:49:50+00,2711,COLLEGE PARK STATION - NORTH LOOP,166901,166901,MARTA,"180, 172, 82, 93",2019/09/04,2019/12/06
-84.2695959995557,34.105573000094,72449,{893F96FE-F748-47B8-B0A9-B8C3C5708BE1},2019/09/06 15:52:51+00,4793,ALPHARETTA PKWY @ DEERFIELD PKWY,213124,213124,MARTA,141,2019/09/04,2019/12/06
-84.3967850004274,33.7369249996891,72450,{F67B95D1-4991-4849-A132-C02E19133ACE},2019/09/06 15:52:51+00,4993,RALPH DAVID ABERNATHY BLVD @ COOPER ST,213349,213349,MARTA,"49, 832",2019/09/04,2019/12/06
