,PLACEKEY,LOCATION_NAME,TOP_CATEGORY,SUB_CATEGORY,NAICS_CODE,LATITUDE,LONGITUDE,CITY,REGION,OPEN_HOURS,CATEGORY_TAGS,OPENED_ON,CLOSED_ON,TRACKING_CLOSED_SINCE
1056,zzw-222@8g7-479-x5z,Alluvia,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.779226,-84.388481,Atlanta,GA,"{ ""Mon"": [[""0:00"", ""2:30""], [""12:00"", ""24:00""]], ""Tue"": [[""12:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""12:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""20:00"", ""24:00""]] }","Mexican Food,Steak House",,,2019-07
1057,2kk-222@8g7-474-hwk,sweetgreen,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.787672,-84.383117,Atlanta,GA,"{ ""Mon"": [[""10:30"", ""20:00""]], ""Tue"": [[""10:30"", ""20:00""]], ""Wed"": [[""10:30"", ""20:00""]], ""Thu"": [[""10:30"", ""20:00""]], ""Fri"": [[""10:30"", ""20:00""]], ""Sat"": [[""10:30"", ""16:00""]], ""Sun"": [[""10:30"", ""16:00""]] }","Counter Service,Dinner,Healthy Food,Lunch,Salad,Vegetarian Food",2023-08,,2019-07
1058,222-23d@8g6-yjt-s3q,Hand In Hand,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.914869,-84.361557,Atlanta,GA,,"Bar or Pub,Burgers,Late Night",,,2019-07
1059,22m-222@8g6-yjy-2hq,Ticknors,Clothing Stores,Men's Clothing Stores,448110,33.924051,-84.341768,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""12:00"", ""19:00""]] }","Accessories,Bespoke,Formal Wear,Men's Clothing,Women's Clothing",,2020-02,2019-09
1060,226-222@8g6-ykz-b49,Five Paces Inn,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,33.841483,-84.380161,Atlanta,GA,"{ ""Mon"": [[""15:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:30""], [""15:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:30""], [""15:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:30""], [""15:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:30""], [""15:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:30""], [""15:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:30""]] }","Bar or Pub,Dive Bar,Late Night,Music Venue",,,2019-07
1061,227-222@8g7-46n-89z,Iron Palm Tattoo & Body Piercing,Personal Care Services,Other Personal Care Services,812199,33.750819,-84.396036,Atlanta,GA,"{ ""Mon"": [], ""Tue"": [[""13:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""13:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""13:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""13:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""13:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""14:00"", ""24:00""]] }","Piercing,Tattoo",,,2019-07
1062,222-223@8g6-yjx-bzf,Jimmy John's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.920544,-84.379375,Sandy Springs,GA,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""10:00"", ""21:00""]] }","Catering,Counter Service,Deli,Dinner,Lunch,Sandwich Shop",,,2019-07
1063,222-223@8g7-479-x89,Xi'an Gourmet House,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.781283,-84.388385,Atlanta,GA,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [[""11:00"", ""21:00""]] }","Burgers,Noodles",,,2019-07
1064,zzy-224@8g6-yjx-yjv,Mels Curlyland Salon,Personal Care Services,Beauty Salons,812112,33.929559,-84.342973,Ga,GA,,,,,2019-07
1065,zzy-224@8g6-yjr-gzf,[solidcore],Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.932832,-84.338613,Dunwoody,GA,"{ ""Mon"": [[""6:00"", ""19:30""]], ""Tue"": [[""5:30"", ""20:30""]], ""Wed"": [[""5:30"", ""19:30""]], ""Thu"": [[""5:30"", ""19:30""]], ""Fri"": [[""6:30"", ""18:30""]], ""Sat"": [[""8:00"", ""12:30""]], ""Sun"": [[""9:00"", ""13:30""]] }","Cardio Classes,Gymnastics,Pilates",2022-03,,2019-07
